latitude,longitude,
49.31616,8.5579,"{ lat: 49.31616,  lng: 8.5579 },"
49.31575,8.55753,"{ lat: 49.31575,  lng: 8.55753 },"
49.31517,8.55708,"{ lat: 49.31517,  lng: 8.55708 },"
49.31442,8.55662,"{ lat: 49.31442,  lng: 8.55662 },"
49.31382,8.55607,"{ lat: 49.31382,  lng: 8.55607 },"
49.31343,8.55566,"{ lat: 49.31343,  lng: 8.55566 },"
49.31301,8.5551,"{ lat: 49.31301,  lng: 8.5551 },"
49.31303,8.55479,"{ lat: 49.31303,  lng: 8.55479 },"
49.31301,8.55467,"{ lat: 49.31301,  lng: 8.55467 },"
49.31271,8.55458,"{ lat: 49.31271,  lng: 8.55458 },"
49.31258,8.55474,"{ lat: 49.31258,  lng: 8.55474 },"
49.31249,8.55497,"{ lat: 49.31249,  lng: 8.55497 },"
49.31116,8.55669,"{ lat: 49.31116,  lng: 8.55669 },"
49.31078,8.55727,"{ lat: 49.31078,  lng: 8.55727 },"
49.31056,8.55746,"{ lat: 49.31056,  lng: 8.55746 },"
49.31016,8.55754,"{ lat: 49.31016,  lng: 8.55754 },"
49.30916,8.55918,"{ lat: 49.30916,  lng: 8.55918 },"
49.30893,8.55948,"{ lat: 49.30893,  lng: 8.55948 },"
49.30849,8.56021,"{ lat: 49.30849,  lng: 8.56021 },"
49.30829,8.56044,"{ lat: 49.30829,  lng: 8.56044 },"
49.3074,8.56119,"{ lat: 49.3074,  lng: 8.56119 },"
49.3062,8.56238,"{ lat: 49.3062,  lng: 8.56238 },"
49.30604,8.5626,"{ lat: 49.30604,  lng: 8.5626 },"
49.30587,8.56297,"{ lat: 49.30587,  lng: 8.56297 },"
49.3057,8.56295,"{ lat: 49.3057,  lng: 8.56295 },"
49.30556,8.56316,"{ lat: 49.30556,  lng: 8.56316 },"
49.30538,8.56328,"{ lat: 49.30538,  lng: 8.56328 },"
49.30537,8.56343,"{ lat: 49.30537,  lng: 8.56343 },"
49.30548,8.5636,"{ lat: 49.30548,  lng: 8.5636 },"
49.3062,8.56406,"{ lat: 49.3062,  lng: 8.56406 },"
49.3066,8.56423,"{ lat: 49.3066,  lng: 8.56423 },"
49.30734,8.56566,"{ lat: 49.30734,  lng: 8.56566 },"
49.30829,8.56698,"{ lat: 49.30829,  lng: 8.56698 },"
49.30842,8.5672,"{ lat: 49.30842,  lng: 8.5672 },"
