latitude,longitude,
49.30843,8.5673,"{ lat: 49.30843,  lng: 8.5673 },"
49.30841,8.56739,"{ lat: 49.30841,  lng: 8.56739 },"
49.30773,8.56842,"{ lat: 49.30773,  lng: 8.56842 },"
49.3068,8.56971,"{ lat: 49.3068,  lng: 8.56971 },"
49.30575,8.57165,"{ lat: 49.30575,  lng: 8.57165 },"
49.3056,8.57202,"{ lat: 49.3056,  lng: 8.57202 },"
49.30535,8.57307,"{ lat: 49.30535,  lng: 8.57307 },"
49.3047,8.57547,"{ lat: 49.3047,  lng: 8.57547 },"
49.30468,8.57575,"{ lat: 49.30468,  lng: 8.57575 },"
49.30494,8.57695,"{ lat: 49.30494,  lng: 8.57695 },"
49.30486,8.57953,"{ lat: 49.30486,  lng: 8.57953 },"
49.30494,8.57965,"{ lat: 49.30494,  lng: 8.57965 },"
49.30692,8.58054,"{ lat: 49.30692,  lng: 8.58054 },"
49.30753,8.58095,"{ lat: 49.30753,  lng: 8.58095 },"
49.30793,8.5811,"{ lat: 49.30793,  lng: 8.5811 },"
49.30827,8.5813,"{ lat: 49.30827,  lng: 8.5813 },"
49.30929,8.58209,"{ lat: 49.30929,  lng: 8.58209 },"
49.30954,8.58213,"{ lat: 49.30954,  lng: 8.58213 },"
49.31011,8.57942,"{ lat: 49.31011,  lng: 8.57942 },"
49.31019,8.57864,"{ lat: 49.31019,  lng: 8.57864 },"
49.31045,8.57726,"{ lat: 49.31045,  lng: 8.57726 },"
49.31084,8.574,"{ lat: 49.31084,  lng: 8.574 },"
49.31116,8.57103,"{ lat: 49.31116,  lng: 8.57103 },"
49.31168,8.56916,"{ lat: 49.31168,  lng: 8.56916 },"
49.31198,8.56847,"{ lat: 49.31198,  lng: 8.56847 },"
49.31259,8.5662,"{ lat: 49.31259,  lng: 8.5662 },"
49.3127,8.56613,"{ lat: 49.3127,  lng: 8.56613 },"
49.31284,8.56622,"{ lat: 49.31284,  lng: 8.56622 },"
49.31339,8.56671,"{ lat: 49.31339,  lng: 8.56671 },"
49.3143,8.56766,"{ lat: 49.3143,  lng: 8.56766 },"
49.31488,8.56806,"{ lat: 49.31488,  lng: 8.56806 },"
49.31502,8.568,"{ lat: 49.31502,  lng: 8.568 },"
49.31541,8.56678,"{ lat: 49.31541,  lng: 8.56678 },"
49.31582,8.56579,"{ lat: 49.31582,  lng: 8.56579 },"
49.31591,8.56574,"{ lat: 49.31591,  lng: 8.56574 },"
49.31614,8.56594,"{ lat: 49.31614,  lng: 8.56594 },"
49.31637,8.56626,"{ lat: 49.31637,  lng: 8.56626 },"
49.31688,8.56663,"{ lat: 49.31688,  lng: 8.56663 },"
49.31695,8.56674,"{ lat: 49.31695,  lng: 8.56674 },"
49.31727,8.567,"{ lat: 49.31727,  lng: 8.567 },"
49.31757,8.56743,"{ lat: 49.31757,  lng: 8.56743 },"
49.31786,8.56793,"{ lat: 49.31786,  lng: 8.56793 },"
49.31816,8.56827,"{ lat: 49.31816,  lng: 8.56827 },"
49.31848,8.56912,"{ lat: 49.31848,  lng: 8.56912 },"
49.31873,8.56992,"{ lat: 49.31873,  lng: 8.56992 },"
49.31967,8.57361,"{ lat: 49.31967,  lng: 8.57361 },"
49.31988,8.57472,"{ lat: 49.31988,  lng: 8.57472 },"
49.31994,8.57496,"{ lat: 49.31994,  lng: 8.57496 },"
49.32009,8.57528,"{ lat: 49.32009,  lng: 8.57528 },"
49.32029,8.57574,"{ lat: 49.32029,  lng: 8.57574 },"
49.32048,8.57637,"{ lat: 49.32048,  lng: 8.57637 },"
49.32069,8.57683,"{ lat: 49.32069,  lng: 8.57683 },"
49.32084,8.57726,"{ lat: 49.32084,  lng: 8.57726 },"
49.3217,8.57926,"{ lat: 49.3217,  lng: 8.57926 },"
49.32221,8.58074,"{ lat: 49.32221,  lng: 8.58074 },"
49.32259,8.58173,"{ lat: 49.32259,  lng: 8.58173 },"
49.32301,8.58266,"{ lat: 49.32301,  lng: 8.58266 },"
49.32311,8.58307,"{ lat: 49.32311,  lng: 8.58307 },"
49.32329,8.58338,"{ lat: 49.32329,  lng: 8.58338 },"
49.32377,8.58477,"{ lat: 49.32377,  lng: 8.58477 },"
49.324,8.58516,"{ lat: 49.324,  lng: 8.58516 },"
49.32428,8.58601,"{ lat: 49.32428,  lng: 8.58601 },"
49.32483,8.58723,"{ lat: 49.32483,  lng: 8.58723 },"
49.32561,8.58941,"{ lat: 49.32561,  lng: 8.58941 },"
49.32626,8.59088,"{ lat: 49.32626,  lng: 8.59088 },"
49.32636,8.5913,"{ lat: 49.32636,  lng: 8.5913 },"
49.32692,8.59249,"{ lat: 49.32692,  lng: 8.59249 },"
49.32774,8.59489,"{ lat: 49.32774,  lng: 8.59489 },"
49.32819,8.59601,"{ lat: 49.32819,  lng: 8.59601 },"
49.32852,8.59671,"{ lat: 49.32852,  lng: 8.59671 },"
49.32856,8.59688,"{ lat: 49.32856,  lng: 8.59688 },"
49.32889,8.59751,"{ lat: 49.32889,  lng: 8.59751 },"
49.32914,8.59834,"{ lat: 49.32914,  lng: 8.59834 },"
49.32977,8.59995,"{ lat: 49.32977,  lng: 8.59995 },"
49.32988,8.60008,"{ lat: 49.32988,  lng: 8.60008 },"
49.32994,8.60009,"{ lat: 49.32994,  lng: 8.60009 },"
49.33006,8.6,"{ lat: 49.33006,  lng: 8.6 },"
49.33061,8.5993,"{ lat: 49.33061,  lng: 8.5993 },"
49.33092,8.59906,"{ lat: 49.33092,  lng: 8.59906 },"
49.33135,8.59846,"{ lat: 49.33135,  lng: 8.59846 },"
49.33191,8.59783,"{ lat: 49.33191,  lng: 8.59783 },"
49.33241,8.59713,"{ lat: 49.33241,  lng: 8.59713 },"
49.33298,8.59654,"{ lat: 49.33298,  lng: 8.59654 },"
49.33357,8.59578,"{ lat: 49.33357,  lng: 8.59578 },"
49.33389,8.59549,"{ lat: 49.33389,  lng: 8.59549 },"
49.33402,8.59554,"{ lat: 49.33402,  lng: 8.59554 },"
49.33426,8.5965,"{ lat: 49.33426,  lng: 8.5965 },"
49.33477,8.59826,"{ lat: 49.33477,  lng: 8.59826 },"
49.33489,8.59843,"{ lat: 49.33489,  lng: 8.59843 },"
49.33517,8.59852,"{ lat: 49.33517,  lng: 8.59852 },"
49.33585,8.59866,"{ lat: 49.33585,  lng: 8.59866 },"
49.33591,8.59856,"{ lat: 49.33591,  lng: 8.59856 },"
49.33573,8.59779,"{ lat: 49.33573,  lng: 8.59779 },"
49.33521,8.59596,"{ lat: 49.33521,  lng: 8.59596 },"
49.33504,8.59514,"{ lat: 49.33504,  lng: 8.59514 },"
49.33453,8.59329,"{ lat: 49.33453,  lng: 8.59329 },"
49.33403,8.59116,"{ lat: 49.33403,  lng: 8.59116 },"
49.33364,8.58981,"{ lat: 49.33364,  lng: 8.58981 },"
49.33307,8.58743,"{ lat: 49.33307,  lng: 8.58743 },"
49.33274,8.58641,"{ lat: 49.33274,  lng: 8.58641 },"
49.33277,8.58615,"{ lat: 49.33277,  lng: 8.58615 },"
49.3332,8.58597,"{ lat: 49.3332,  lng: 8.58597 },"
49.33327,8.58588,"{ lat: 49.33327,  lng: 8.58588 },"
49.33345,8.58515,"{ lat: 49.33345,  lng: 8.58515 },"
49.33354,8.58468,"{ lat: 49.33354,  lng: 8.58468 },"
49.33355,8.5844,"{ lat: 49.33355,  lng: 8.5844 },"
49.33351,8.5841,"{ lat: 49.33351,  lng: 8.5841 },"
49.33289,8.58222,"{ lat: 49.33289,  lng: 8.58222 },"
49.3329,8.58204,"{ lat: 49.3329,  lng: 8.58204 },"
49.33313,8.58146,"{ lat: 49.33313,  lng: 8.58146 },"
49.3334,8.58099,"{ lat: 49.3334,  lng: 8.58099 },"
49.33402,8.57972,"{ lat: 49.33402,  lng: 8.57972 },"
49.33416,8.57951,"{ lat: 49.33416,  lng: 8.57951 },"
49.33481,8.57812,"{ lat: 49.33481,  lng: 8.57812 },"
49.3351,8.57764,"{ lat: 49.3351,  lng: 8.57764 },"
49.33524,8.57726,"{ lat: 49.33524,  lng: 8.57726 },"
49.33537,8.57706,"{ lat: 49.33537,  lng: 8.57706 },"
49.33616,8.57552,"{ lat: 49.33616,  lng: 8.57552 },"
49.33627,8.5752,"{ lat: 49.33627,  lng: 8.5752 },"
49.33648,8.57478,"{ lat: 49.33648,  lng: 8.57478 },"
49.33703,8.5738,"{ lat: 49.33703,  lng: 8.5738 },"
49.33711,8.57372,"{ lat: 49.33711,  lng: 8.57372 },"
49.33721,8.57349,"{ lat: 49.33721,  lng: 8.57349 },"
49.33732,8.57264,"{ lat: 49.33732,  lng: 8.57264 },"
49.33732,8.57219,"{ lat: 49.33732,  lng: 8.57219 },"
49.33743,8.57125,"{ lat: 49.33743,  lng: 8.57125 },"
49.3375,8.57104,"{ lat: 49.3375,  lng: 8.57104 },"
49.3376,8.56981,"{ lat: 49.3376,  lng: 8.56981 },"
49.33794,8.56728,"{ lat: 49.33794,  lng: 8.56728 },"
49.33795,8.56667,"{ lat: 49.33795,  lng: 8.56667 },"
49.338,8.56619,"{ lat: 49.338,  lng: 8.56619 },"
49.33803,8.56596,"{ lat: 49.33803,  lng: 8.56596 },"
49.33827,8.56472,"{ lat: 49.33827,  lng: 8.56472 },"
49.33835,8.56351,"{ lat: 49.33835,  lng: 8.56351 },"
49.3385,8.56279,"{ lat: 49.3385,  lng: 8.56279 },"
49.33853,8.56238,"{ lat: 49.33853,  lng: 8.56238 },"
49.33865,8.56188,"{ lat: 49.33865,  lng: 8.56188 },"
49.33864,8.56136,"{ lat: 49.33864,  lng: 8.56136 },"
49.33878,8.56083,"{ lat: 49.33878,  lng: 8.56083 },"
49.33878,8.56029,"{ lat: 49.33878,  lng: 8.56029 },"
49.33906,8.55758,"{ lat: 49.33906,  lng: 8.55758 },"
49.33908,8.5563,"{ lat: 49.33908,  lng: 8.5563 },"
49.33841,8.55595,"{ lat: 49.33841,  lng: 8.55595 },"
49.33764,8.5555,"{ lat: 49.33764,  lng: 8.5555 },"
49.33694,8.55502,"{ lat: 49.33694,  lng: 8.55502 },"
49.3362,8.55462,"{ lat: 49.3362,  lng: 8.55462 },"
49.33603,8.55447,"{ lat: 49.33603,  lng: 8.55447 },"
49.33599,8.55432,"{ lat: 49.33599,  lng: 8.55432 },"
49.33601,8.55408,"{ lat: 49.33601,  lng: 8.55408 },"
49.33621,8.55365,"{ lat: 49.33621,  lng: 8.55365 },"
49.33643,8.55327,"{ lat: 49.33643,  lng: 8.55327 },"
49.3365,8.55307,"{ lat: 49.3365,  lng: 8.55307 },"
49.33651,8.55266,"{ lat: 49.33651,  lng: 8.55266 },"
49.33641,8.55232,"{ lat: 49.33641,  lng: 8.55232 },"
49.33622,8.55212,"{ lat: 49.33622,  lng: 8.55212 },"
49.33572,8.5518,"{ lat: 49.33572,  lng: 8.5518 },"
49.33543,8.55153,"{ lat: 49.33543,  lng: 8.55153 },"
49.3342,8.55059,"{ lat: 49.3342,  lng: 8.55059 },"
49.33376,8.55031,"{ lat: 49.33376,  lng: 8.55031 },"
49.33334,8.55021,"{ lat: 49.33334,  lng: 8.55021 },"
49.33322,8.55011,"{ lat: 49.33322,  lng: 8.55011 },"
49.33315,8.54919,"{ lat: 49.33315,  lng: 8.54919 },"
49.33308,8.54881,"{ lat: 49.33308,  lng: 8.54881 },"
49.33251,8.54834,"{ lat: 49.33251,  lng: 8.54834 },"
49.33234,8.54813,"{ lat: 49.33234,  lng: 8.54813 },"
49.33211,8.54818,"{ lat: 49.33211,  lng: 8.54818 },"
49.33199,8.54805,"{ lat: 49.33199,  lng: 8.54805 },"
49.33174,8.54792,"{ lat: 49.33174,  lng: 8.54792 },"
49.33168,8.54778,"{ lat: 49.33168,  lng: 8.54778 },"
49.33165,8.54749,"{ lat: 49.33165,  lng: 8.54749 },"
49.33153,8.54714,"{ lat: 49.33153,  lng: 8.54714 },"
49.33141,8.54688,"{ lat: 49.33141,  lng: 8.54688 },"
49.33121,8.54663,"{ lat: 49.33121,  lng: 8.54663 },"
49.33079,8.54651,"{ lat: 49.33079,  lng: 8.54651 },"
49.33016,8.54653,"{ lat: 49.33016,  lng: 8.54653 },"
49.33,8.54642,"{ lat: 49.33,  lng: 8.54642 },"
49.32954,8.54599,"{ lat: 49.32954,  lng: 8.54599 },"
49.32884,8.54553,"{ lat: 49.32884,  lng: 8.54553 },"
49.32806,8.54485,"{ lat: 49.32806,  lng: 8.54485 },"
49.32689,8.54407,"{ lat: 49.32689,  lng: 8.54407 },"
49.32644,8.54368,"{ lat: 49.32644,  lng: 8.54368 },"
49.32604,8.5432,"{ lat: 49.32604,  lng: 8.5432 },"
49.32568,8.54312,"{ lat: 49.32568,  lng: 8.54312 },"
49.32542,8.54297,"{ lat: 49.32542,  lng: 8.54297 },"
49.32525,8.54283,"{ lat: 49.32525,  lng: 8.54283 },"
49.32492,8.54236,"{ lat: 49.32492,  lng: 8.54236 },"
49.32462,8.5421,"{ lat: 49.32462,  lng: 8.5421 },"
49.32383,8.54153,"{ lat: 49.32383,  lng: 8.54153 },"
49.32339,8.5413,"{ lat: 49.32339,  lng: 8.5413 },"
49.32255,8.54067,"{ lat: 49.32255,  lng: 8.54067 },"
49.32196,8.54039,"{ lat: 49.32196,  lng: 8.54039 },"
49.32149,8.54028,"{ lat: 49.32149,  lng: 8.54028 },"
49.32034,8.53984,"{ lat: 49.32034,  lng: 8.53984 },"
49.32019,8.5397,"{ lat: 49.32019,  lng: 8.5397 },"
49.31878,8.53909,"{ lat: 49.31878,  lng: 8.53909 },"
49.31834,8.53895,"{ lat: 49.31834,  lng: 8.53895 },"
49.31803,8.53898,"{ lat: 49.31803,  lng: 8.53898 },"
49.31758,8.5388,"{ lat: 49.31758,  lng: 8.5388 },"
49.31699,8.53843,"{ lat: 49.31699,  lng: 8.53843 },"
49.31671,8.53829,"{ lat: 49.31671,  lng: 8.53829 },"
49.31612,8.53804,"{ lat: 49.31612,  lng: 8.53804 },"
49.31587,8.53803,"{ lat: 49.31587,  lng: 8.53803 },"
49.31567,8.53795,"{ lat: 49.31567,  lng: 8.53795 },"
49.31538,8.53774,"{ lat: 49.31538,  lng: 8.53774 },"
49.31328,8.53692,"{ lat: 49.31328,  lng: 8.53692 },"
49.31314,8.53677,"{ lat: 49.31314,  lng: 8.53677 },"
49.31271,8.53656,"{ lat: 49.31271,  lng: 8.53656 },"
49.31142,8.53608,"{ lat: 49.31142,  lng: 8.53608 },"
49.31072,8.53595,"{ lat: 49.31072,  lng: 8.53595 },"
49.31027,8.53602,"{ lat: 49.31027,  lng: 8.53602 },"
49.30977,8.53626,"{ lat: 49.30977,  lng: 8.53626 },"
49.30962,8.53641,"{ lat: 49.30962,  lng: 8.53641 },"
49.30905,8.53718,"{ lat: 49.30905,  lng: 8.53718 },"
49.30865,8.53784,"{ lat: 49.30865,  lng: 8.53784 },"
49.30848,8.53805,"{ lat: 49.30848,  lng: 8.53805 },"
49.30838,8.53826,"{ lat: 49.30838,  lng: 8.53826 },"
49.30851,8.5388,"{ lat: 49.30851,  lng: 8.5388 },"
49.30908,8.54047,"{ lat: 49.30908,  lng: 8.54047 },"
49.30947,8.54203,"{ lat: 49.30947,  lng: 8.54203 },"
49.31008,8.54409,"{ lat: 49.31008,  lng: 8.54409 },"
49.31019,8.54429,"{ lat: 49.31019,  lng: 8.54429 },"
49.31038,8.5445,"{ lat: 49.31038,  lng: 8.5445 },"
49.31041,8.545,"{ lat: 49.31041,  lng: 8.545 },"
49.31051,8.54549,"{ lat: 49.31051,  lng: 8.54549 },"
49.31087,8.54683,"{ lat: 49.31087,  lng: 8.54683 },"
49.31098,8.5471,"{ lat: 49.31098,  lng: 8.5471 },"
49.31108,8.54723,"{ lat: 49.31108,  lng: 8.54723 },"
49.31119,8.54711,"{ lat: 49.31119,  lng: 8.54711 },"
49.31123,8.54693,"{ lat: 49.31123,  lng: 8.54693 },"
49.31121,8.5462,"{ lat: 49.31121,  lng: 8.5462 },"
49.31129,8.54599,"{ lat: 49.31129,  lng: 8.54599 },"
49.31149,8.54582,"{ lat: 49.31149,  lng: 8.54582 },"
49.31179,8.54538,"{ lat: 49.31179,  lng: 8.54538 },"
49.31248,8.54489,"{ lat: 49.31248,  lng: 8.54489 },"
49.31344,8.54401,"{ lat: 49.31344,  lng: 8.54401 },"
49.31361,8.54392,"{ lat: 49.31361,  lng: 8.54392 },"
49.31374,8.5441,"{ lat: 49.31374,  lng: 8.5441 },"
49.31404,8.54526,"{ lat: 49.31404,  lng: 8.54526 },"
49.31412,8.54552,"{ lat: 49.31412,  lng: 8.54552 },"
49.31416,8.54555,"{ lat: 49.31416,  lng: 8.54555 },"
49.31456,8.54522,"{ lat: 49.31456,  lng: 8.54522 },"
49.31485,8.5449,"{ lat: 49.31485,  lng: 8.5449 },"
49.31577,8.54407,"{ lat: 49.31577,  lng: 8.54407 },"
49.31643,8.54375,"{ lat: 49.31643,  lng: 8.54375 },"
49.3168,8.54351,"{ lat: 49.3168,  lng: 8.54351 },"
49.31695,8.54352,"{ lat: 49.31695,  lng: 8.54352 },"
49.31743,8.54448,"{ lat: 49.31743,  lng: 8.54448 },"
49.31784,8.54544,"{ lat: 49.31784,  lng: 8.54544 },"
49.3181,8.54703,"{ lat: 49.3181,  lng: 8.54703 },"
49.31823,8.5474,"{ lat: 49.31823,  lng: 8.5474 },"
49.31824,8.54752,"{ lat: 49.31824,  lng: 8.54752 },"
49.31841,8.54796,"{ lat: 49.31841,  lng: 8.54796 },"
49.31872,8.5493,"{ lat: 49.31872,  lng: 8.5493 },"
49.31885,8.54961,"{ lat: 49.31885,  lng: 8.54961 },"
49.31885,8.54986,"{ lat: 49.31885,  lng: 8.54986 },"
49.31872,8.5502,"{ lat: 49.31872,  lng: 8.5502 },"
49.31874,8.55078,"{ lat: 49.31874,  lng: 8.55078 },"
49.31886,8.5511,"{ lat: 49.31886,  lng: 8.5511 },"
49.31937,8.55198,"{ lat: 49.31937,  lng: 8.55198 },"
49.32003,8.55341,"{ lat: 49.32003,  lng: 8.55341 },"
49.32083,8.55491,"{ lat: 49.32083,  lng: 8.55491 },"
49.32093,8.55506,"{ lat: 49.32093,  lng: 8.55506 },"
49.32096,8.55506,"{ lat: 49.32096,  lng: 8.55506 },"
49.32143,8.55454,"{ lat: 49.32143,  lng: 8.55454 },"
49.32177,8.55432,"{ lat: 49.32177,  lng: 8.55432 },"
49.32198,8.55465,"{ lat: 49.32198,  lng: 8.55465 },"
49.32216,8.5548,"{ lat: 49.32216,  lng: 8.5548 },"
49.32243,8.55497,"{ lat: 49.32243,  lng: 8.55497 },"
49.32293,8.55516,"{ lat: 49.32293,  lng: 8.55516 },"
49.32495,8.55672,"{ lat: 49.32495,  lng: 8.55672 },"
49.32534,8.55709,"{ lat: 49.32534,  lng: 8.55709 },"
49.32538,8.55721,"{ lat: 49.32538,  lng: 8.55721 },"
49.32539,8.55738,"{ lat: 49.32539,  lng: 8.55738 },"
49.32531,8.55762,"{ lat: 49.32531,  lng: 8.55762 },"
49.32515,8.55779,"{ lat: 49.32515,  lng: 8.55779 },"
49.32384,8.55912,"{ lat: 49.32384,  lng: 8.55912 },"
49.3235,8.55949,"{ lat: 49.3235,  lng: 8.55949 },"
49.32319,8.55996,"{ lat: 49.32319,  lng: 8.55996 },"
49.32284,8.56025,"{ lat: 49.32284,  lng: 8.56025 },"
49.32232,8.56081,"{ lat: 49.32232,  lng: 8.56081 },"
49.32206,8.56099,"{ lat: 49.32206,  lng: 8.56099 },"
49.32078,8.56236,"{ lat: 49.32078,  lng: 8.56236 },"
49.31938,8.5637,"{ lat: 49.31938,  lng: 8.5637 },"
49.31908,8.56423,"{ lat: 49.31908,  lng: 8.56423 },"
49.31893,8.56439,"{ lat: 49.31893,  lng: 8.56439 },"
49.31878,8.56428,"{ lat: 49.31878,  lng: 8.56428 },"
49.31861,8.56399,"{ lat: 49.31861,  lng: 8.56399 },"
49.3185,8.56365,"{ lat: 49.3185,  lng: 8.56365 },"
49.31819,8.56325,"{ lat: 49.31819,  lng: 8.56325 },"
49.31709,8.56222,"{ lat: 49.31709,  lng: 8.56222 },"
49.31663,8.56194,"{ lat: 49.31663,  lng: 8.56194 },"
49.31654,8.56184,"{ lat: 49.31654,  lng: 8.56184 },"
49.31648,8.56163,"{ lat: 49.31648,  lng: 8.56163 },"
49.31647,8.56133,"{ lat: 49.31647,  lng: 8.56133 },"
49.31667,8.55943,"{ lat: 49.31667,  lng: 8.55943 },"
