latitude,longitude,
47.78803,7.59097,"{ lat: 49.31616,  lng: 8.5579 },"
47.78738,7.59695,"{ lat: 49.31616,  lng: 8.5579 },"
47.78627,7.59912,"{ lat: 49.31616,  lng: 8.5579 },"
47.78457,7.60036,"{ lat: 49.31616,  lng: 8.5579 },"
47.78583,7.60697,"{ lat: 49.31616,  lng: 8.5579 },"
47.785,7.6117,"{ lat: 49.31616,  lng: 8.5579 },"
47.78178,7.61529,"{ lat: 49.31616,  lng: 8.5579 },"
47.77757,7.61578,"{ lat: 49.31616,  lng: 8.5579 },"
47.77445,7.61765,"{ lat: 49.31616,  lng: 8.5579 },"
47.77409,7.61968,"{ lat: 49.31616,  lng: 8.5579 },"
47.77538,7.6217,"{ lat: 49.31616,  lng: 8.5579 },"
47.77421,7.62729,"{ lat: 49.31616,  lng: 8.5579 },"
47.77267,7.62988,"{ lat: 49.31616,  lng: 8.5579 },"
47.77388,7.6364,"{ lat: 49.31616,  lng: 8.5579 },"
47.77343,7.64179,"{ lat: 49.31616,  lng: 8.5579 },"
47.76967,7.64815,"{ lat: 49.31616,  lng: 8.5579 },"
47.76904,7.65162,"{ lat: 49.31616,  lng: 8.5579 },"
47.76805,7.65331,"{ lat: 49.31616,  lng: 8.5579 },"
47.76717,7.65312,"{ lat: 49.31616,  lng: 8.5579 },"
47.76765,7.65358,"{ lat: 49.31616,  lng: 8.5579 },"
47.76565,7.65705,"{ lat: 49.31616,  lng: 8.5579 },"
47.76544,7.66003,"{ lat: 49.31616,  lng: 8.5579 },"
47.76426,7.66031,"{ lat: 49.31616,  lng: 8.5579 },"
47.76224,7.66343,"{ lat: 49.31616,  lng: 8.5579 },"
47.76073,7.66428,"{ lat: 49.31616,  lng: 8.5579 },"
47.75955,7.6632,"{ lat: 49.31616,  lng: 8.5579 },"
47.75805,7.66383,"{ lat: 49.31616,  lng: 8.5579 },"
47.75513,7.6683,"{ lat: 49.31616,  lng: 8.5579 },"
47.7525,7.66963,"{ lat: 49.31616,  lng: 8.5579 },"
47.75152,7.67222,"{ lat: 49.31616,  lng: 8.5579 },"
47.75261,7.67862,"{ lat: 49.31616,  lng: 8.5579 },"
47.75109,7.67657,"{ lat: 49.31616,  lng: 8.5579 },"
47.75045,7.67715,"{ lat: 49.31616,  lng: 8.5579 },"
47.75241,7.67765,"{ lat: 49.31616,  lng: 8.5579 },"
47.75152,7.67224,"{ lat: 49.31616,  lng: 8.5579 },"
47.75211,7.67029,"{ lat: 49.31616,  lng: 8.5579 },"
47.75285,7.6689,"{ lat: 49.31616,  lng: 8.5579 },"
47.75538,7.66781,"{ lat: 49.31616,  lng: 8.5579 },"
47.75837,7.66355,"{ lat: 49.31616,  lng: 8.5579 },"
47.75988,7.66315,"{ lat: 49.31616,  lng: 8.5579 },"
47.76086,7.66426,"{ lat: 49.31616,  lng: 8.5579 },"
47.75925,7.66206,"{ lat: 49.31616,  lng: 8.5579 },"
47.7545,7.66246,"{ lat: 49.31616,  lng: 8.5579 },"
47.75237,7.66122,"{ lat: 49.31616,  lng: 8.5579 },"
47.74979,7.66256,"{ lat: 49.31616,  lng: 8.5579 },"
47.74866,7.66528,"{ lat: 49.31616,  lng: 8.5579 },"
47.74713,7.66689,"{ lat: 49.31616,  lng: 8.5579 },"
47.74675,7.66331,"{ lat: 49.31616,  lng: 8.5579 },"
47.74275,7.66297,"{ lat: 49.31616,  lng: 8.5579 },"
47.74051,7.66486,"{ lat: 49.31616,  lng: 8.5579 },"
47.73983,7.66809,"{ lat: 49.31616,  lng: 8.5579 },"
47.73584,7.6719,"{ lat: 49.31616,  lng: 8.5579 },"
47.73047,7.66652,"{ lat: 49.31616,  lng: 8.5579 },"
47.72875,7.66664,"{ lat: 49.31616,  lng: 8.5579 },"
47.72512,7.66403,"{ lat: 49.31616,  lng: 8.5579 },"
47.71903,7.66174,"{ lat: 49.31616,  lng: 8.5579 },"
47.71468,7.66318,"{ lat: 49.31616,  lng: 8.5579 },"
47.71524,7.6746,"{ lat: 49.31616,  lng: 8.5579 },"
47.71584,7.67641,"{ lat: 49.31616,  lng: 8.5579 },"
47.71448,7.67529,"{ lat: 49.31616,  lng: 8.5579 },"
47.71336,7.67602,"{ lat: 49.31616,  lng: 8.5579 },"
47.71238,7.67821,"{ lat: 49.31616,  lng: 8.5579 },"
47.71302,7.68011,"{ lat: 49.31616,  lng: 8.5579 },"
